freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,sensitivity,predictor_set,label_definition,training_population,validation_year,population,notes,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2022,P_valid_2022,outcome relabelled on a fixed window; same average-rank tie convention,2074,537,1537,0.2589199614271938,brier_score,0.1751289359943567,0.16610486502132088,0.18389658639805406,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2022,P_valid_2022,outcome relabelled on a fixed window; same average-rank tie convention,2074,537,1537,0.2589199614271938,calibration_slope,1.3043410029932816,1.089886580299943,1.541097108344306,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2022,P_valid_2022,outcome relabelled on a fixed window; same average-rank tie convention,2074,537,1537,0.2589199614271938,calibration_in_the_large,-0.02894065740350456,-0.12907118666566975,0.06937347589299525,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2023,P_valid_2023,outcome relabelled on a fixed window; same average-rank tie convention,2300,569,1731,0.24739130434782608,roc_auc,0.6873369822902737,0.6630778528304082,0.7133432616182838,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2023,P_valid_2023,outcome relabelled on a fixed window; same average-rank tie convention,2300,569,1731,0.24739130434782608,pr_auc,0.42954606884632296,0.38767954208780253,0.4786201903880132,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2023,P_valid_2023,outcome relabelled on a fixed window; same average-rank tie convention,2300,569,1731,0.24739130434782608,brier_score,0.17053903080467303,0.16257005939047964,0.1789174647316611,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2023,P_valid_2023,outcome relabelled on a fixed window; same average-rank tie convention,2300,569,1731,0.24739130434782608,calibration_slope,1.2883356967376687,1.0856873691080842,1.5077137506524978,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,reduced,citations within 3 years of publication (c2_early),2018-2021,2023,P_valid_2023,outcome relabelled on a fixed window; same average-rank tie convention,2300,569,1731,0.24739130434782608,calibration_in_the_large,-0.10462705213431991,-0.20040694780914456,-0.007874455859319606,1000,1000,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,label_agreement,cumulative vs fixed 3-year window,,2022,P_valid_2022,proportion of articles receiving the same label under both definitions,2074,529,1545,0.2550626808100289,label_agreement,0.9276759884281581,,,0,0,42
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-31T16:40:40+09:00,B,fixed_3_year_window,label_agreement,cumulative vs fixed 3-year window,,2023,P_valid_2023,proportion of articles receiving the same label under both definitions,2300,572,1728,0.24869565217391304,label_agreement,0.9595652173913043,,,0,0,42
