freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,model_role,predictor_set,sensitivity,algorithm,calibration_method,training_years,validation_year,population,n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,comparator,difference_direction,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,roc_auc,0.6861832486036425,0.6601467645732122,0.7150272633409264,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,pr_auc,0.422869665960841,0.38004219694395164,0.4681268030865912,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,brier_score,0.17428065040536384,0.16525117575734383,0.18273547251731886,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_slope,1.1418098217058938,0.9616866760133577,1.3464090641546358,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2022,P_valid_2022,2074,529,1545,0.2550626808100289,calibration_in_the_large,-0.09143475917192664,-0.197745924818257,0.003765972713406358,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,roc_auc,0.6863117351398601,0.6618390569862985,0.7098441060600059,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,pr_auc,0.4404582916310702,0.4001051056668061,0.48452277394839505,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,brier_score,0.170500514727467,0.16273151982901862,0.17828724593368517,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_slope,1.1956921499217463,1.0276579687423746,1.3680159623586599,1000,1000,42,,,separate held-out-year evaluation
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,B,primary,reduced_without_reference,without_reference,histogram gradient boosting,"isotonic, 3-fold training CV",2018-2021,2023,P_valid_2023,2300,572,1728,0.24869565217391304,calibration_in_the_large,-0.13519747206308141,-0.2308242144546628,-0.03998869331050499,1000,1000,42,,,separate held-out-year evaluation
