freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,model_id,predictor_set,cv_scheme,operating_point,target_flagged_per_100,training_probability_cutoff,training_actual_flagged_per_100,validation_year,n,events,non_events,metric,numerator,denominator,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,random_seed,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2022,2074,211,1863,specificity,1675,1863,0.8990874932903918,0.8856625443523778,0.9137475631500956,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2022,2074,211,1863,positive_predictive_value,99,287,0.34494773519163763,0.29512475775193797,0.39797188990538745,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2022,2074,211,1863,negative_predictive_value,1675,1787,0.9373251259093452,0.9259648835683975,0.9483443518723323,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2022,2074,211,1863,manuscripts_flagged_per_100,287,2074,13.837994214079075,12.295081967213115,15.23625843780135,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2023,2300,238,2062,sensitivity,119,238,0.5,0.43554532775453275,0.5637402367586039,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2023,2300,238,2062,specificity,1859,2062,0.9015518913676043,0.8890362411813686,0.9143417834588052,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2023,2300,238,2062,positive_predictive_value,119,322,0.3695652173913043,0.31927563674895015,0.4255387783115992,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2023,2300,238,2062,negative_predictive_value,1859,1978,0.9398382204246714,0.928458212259582,0.9500769983212383,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_10_per_100,10,0.19248937268296915,10.028011204481793,2023,2300,238,2062,manuscripts_flagged_per_100,322,2300,14.0,12.608695652173912,15.347826086956522,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2022,2074,211,1863,sensitivity,137,211,0.6492890995260664,0.5842080668962125,0.7136317907444668,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2022,2074,211,1863,specificity,1481,1863,0.7949543746645196,0.7761511505035475,0.8150220566331984,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2022,2074,211,1863,positive_predictive_value,137,519,0.26396917148362237,0.2268026252697195,0.30134562235400353,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2022,2074,211,1863,negative_predictive_value,1481,1555,0.952411575562701,0.9411318120899111,0.9624840348408501,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2022,2074,211,1863,manuscripts_flagged_per_100,519,2074,25.02410800385728,22.999035679845708,26.95274831243973,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2023,2300,238,2062,sensitivity,170,238,0.7142857142857143,0.6558139534883721,0.7722244565994566,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2023,2300,238,2062,specificity,1609,2062,0.7803103782735209,0.7638691648580497,0.7989393116080676,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2023,2300,238,2062,positive_predictive_value,170,623,0.27287319422150885,0.23847005573348284,0.31053175293605917,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2023,2300,238,2062,negative_predictive_value,1609,1677,0.9594514013118665,0.9499992465340567,0.9687707085913,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,A,reduced,3-fold stratified shuffled OOF; all preprocessing refit in outer training fold,flag_25_per_100,25,0.12555555555555556,25.008403361344538,2023,2300,238,2062,manuscripts_flagged_per_100,623,2300,27.08695652173913,25.08586956521739,28.869565217391305,1000,1000,42,fixed training-OOF cutoff; all probability ties retained; operating characteristic only
