freeze_id,plan_sha256,source_cohort_sha256,analysis_script_sha256,generated_at,analysis_type,model_id,predictor_set,training_population,validation_year,document_type,abstract_status,n,denominator_n,events,non_events,event_rate,metric,estimate,ci_lower,ci_upper,bootstrap_requested,bootstrap_valid,test_name,test_statistic,p_value,notes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2023,All,present,1568,1568,411.0,1157.0,0.26211734693877553,calibration_slope,1.049466269968767,0.8485766891839984,1.2639348688975072,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,B,reduced,P_abs_present_train,2023,All,present,1568,1568,411.0,1157.0,0.26211734693877553,calibration_in_the_large,-0.16864932878083522,-0.2982668969962213,-0.05480435770109914,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,A,reduced,P_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,roc_auc,0.7971966564403539,0.763333339981045,0.8314637151348941,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,A,reduced,P_train,2022,All,absent,703,703,64.0,639.0,0.09103840682788052,roc_auc,0.8040395148669797,0.7515798806496407,0.8544219089761148,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,A,reduced,P_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,roc_auc,0.7980056331489839,0.7585561626808469,0.8356216006914194,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,locked_all_record_subgroup,A,reduced,P_train,2023,All,absent,732,732,79.0,653.0,0.10792349726775956,roc_auc,0.8423924632174773,0.8002992206481434,0.8794625078011453,1000,1000,,,,NA when subgroup lacks both outcome classes
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,roc_auc,0.8149898848428261,0.7808591082782951,0.8481684115368295,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,pr_auc,0.33497586148338093,0.27754880395347087,0.4141556149946445,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,brier_score,0.08551926798665706,0.0740493759428742,0.09743332460297387,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,calibration_slope,1.833219911189883,1.5318520881160576,2.2059440179633856,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2022,All,present,1371,1371,147.0,1224.0,0.10722100656455143,calibration_in_the_large,0.11778191117563049,-0.06404927873887793,0.2815305781208995,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,roc_auc,0.8053662216389696,0.7666132826437737,0.841950203587295,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,pr_auc,0.35579796374907513,0.2860470465599853,0.4353385572173881,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,brier_score,0.08057692742384084,0.07053768453057534,0.09121283395361203,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,calibration_slope,1.8013950356778454,1.4700134580393174,2.2187419746147206,1000,1000,,,,model fitted only among abstract-present training records
REV1-20260827-c550d47d361b,e17faa968e38c7fc622349840d4b5f9f8cdbaafdefb4ec8af883a59d9b245b4b,c550d47d361b1fb3574d89de9ef6f0c1d53bd05125f7cbf85ca0c2b6a8c5e808,c4e299991ac26335258c6b0e19c85674b45cdae6e2ff1eaa1b6f0d283bf44b2c,2026-08-27T12:48:54+09:00,abstract_present_fitted_model,A,reduced,P_abs_present_train,2023,All,present,1568,1568,159.0,1409.0,0.10140306122448979,calibration_in_the_large,0.038816488398034234,-0.1299357178157044,0.19682229388757289,1000,1000,,,,model fitted only among abstract-present training records
